#  index    confid    natoms  AtomicEnergy      MaxForce        DeviAE         DeviF
       0        11        39       -5.9052        2.9825        0.5382        0.0898
       1        11        39       -5.9083        1.4132        0.5280        0.1098
       5         9        39       -5.9098        1.5127        0.6109        0.0373
       9         5        39       -5.9130        1.7340        0.6056        0.0377
      12         2        39       -5.9030        2.8460        0.6106        0.0386
      13         2        39       -5.9064        1.5543        0.6050        0.0577
      20         8        39       -5.9058        2.8493        0.6448        0.3052
      21         8        39       -5.9096        1.6623        0.6432        0.2659
      22        12        39       -5.9095        3.0434        0.6106        0.0445
      23        12        39       -5.9131        1.6520        0.6049        0.0572
      25        13        39       -5.9162        1.7005        0.6093        0.0431
      26        15        39       -5.9094        3.2186        0.6037        0.0396
      27        15        39       -5.9127        1.5106        0.6169        0.1180
