#  index    confid    natoms   TotalEnergy  AtomicEnergy      MaxForce   max_devi_e    max_devi_f   
       0         0         8      -46.0531       -5.7566        0.7219        0.1300        0.1500  
       0         0         8      -46.0531       -5.7566        0.7219        0.1300        0.1500  
       1         0         8      -46.0687       -5.7586        0.9274        0.1300        0.1500  
       1         0         8      -46.0687       -5.7586        0.9274        0.1300        0.1500  
       2         0         8      -45.9257       -5.7407        1.0546        0.1300        0.1500  
       2         0         8      -45.9257       -5.7407        1.0546        0.1300        0.1500  
       3         0         8      -45.9310       -5.7414        1.1201        0.1300        0.1500  
       3         0         8      -45.9310       -5.7414        1.1201        0.1300        0.1500  
       4         0         8      -45.8381       -5.7298        1.7434        0.1300        0.1500  
       4         0         8      -45.8381       -5.7298        1.7434        0.1300        0.1500  
       5         0         8      -45.9495       -5.7437        1.3644        0.1300        0.1500  
       5         0         8      -45.9495       -5.7437        1.3644        0.1300        0.1500  
