#       step         tot_devi_e         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.140848e-01       7.752149e-01       1.219742e-02       1.076328e-01       5.361610e-02       1.978718e-05       6.184817e-03
          50       6.422081e-02       7.974611e-01       9.190808e-03       1.087445e-01       4.358311e-02       1.624506e-04       9.374550e-03
         100       1.087358e-01       7.650085e-01       1.029358e-02       1.057273e-01       5.495140e-02       1.385470e-04       8.865064e-03
         150       1.020845e-01       7.985093e-01       5.736740e-03       1.079577e-01       5.411854e-02       5.035202e-05       1.083535e-02
         200       3.424513e-01       8.055305e-01       2.010949e-03       1.082671e-01       3.768053e-02       9.806010e-05       8.810240e-03
         250       2.998689e-01       7.369548e-01       8.493674e-03       1.034367e-01       8.376015e-02       2.266432e-04       1.108843e-02
         300       3.050963e-01       7.786812e-01       1.102986e-02       1.078311e-01       5.836730e-02       5.592206e-04       1.045315e-02
         350       5.450062e-01       7.795532e-01       1.231610e-02       1.081998e-01       5.849887e-02       1.247572e-04       1.062594e-02
         400       1.171930e-01       7.605843e-01       1.018507e-02       1.055606e-01       5.317132e-02       2.924845e-05       9.952364e-03
         450       1.220405e-01       8.085860e-01       5.428774e-03       1.096242e-01       4.722733e-02       5.409108e-05       8.548957e-03
         500       1.126666e-01       7.789027e-01       4.676241e-03       1.064409e-01       4.701277e-02       1.193272e-04       1.089262e-02
         550       4.588517e-01       7.670086e-01       9.012909e-03       1.059384e-01       4.394866e-02       6.915700e-04       8.858120e-03
         600       3.143365e-01       7.747269e-01       1.094079e-02       1.078167e-01       5.258114e-02       1.280504e-04       1.154097e-02
         650       3.036472e-01       7.561938e-01       1.234968e-02       1.054828e-01       8.354630e-02       2.972665e-05       1.141298e-02
         700       8.322628e-01       8.043653e-01       5.553520e-03       1.095250e-01       4.500295e-02       1.514716e-04       1.098144e-02
         750       8.479827e-02       8.021193e-01       4.246993e-03       1.088342e-01       4.496192e-02       1.204217e-04       8.604612e-03
         800       1.242224e-01       7.375239e-01       1.115121e-02       1.036581e-01       7.061448e-02       6.757299e-05       1.117186e-02
         850       3.883046e-01       7.788962e-01       1.247774e-02       1.079646e-01       6.240785e-02       1.067793e-04       9.489061e-03
         900       3.062079e-01       7.770941e-01       7.923806e-03       1.073753e-01       4.809475e-02       7.613393e-05       1.094438e-02
         950       8.232946e-02       7.667897e-01       4.921992e-03       1.056460e-01       4.882180e-02       9.923794e-05       9.839750e-03
        1000       1.538409e-01       8.137831e-01       6.550065e-03       1.104628e-01       6.588991e-02       3.984754e-04       1.123879e-02
