epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,   13.389,     0.01,          0.97474,           1.0216,           4.0394,        0.464,         0.83,        0.952,         1.23,           1.6967,          0.67174,           3.7119,        0.559,         1.08,        0.558,        0.683
         2,   22.769,     0.01,          0.96765,          0.46518,           2.3632,        0.463,        0.829,         0.34,        0.532,           1.6954,          0.59491,           3.4801,        0.559,         1.08,        0.494,        0.633
         3,   31.493,     0.01,           1.0335,          0.66292,           3.0222,        0.462,        0.828,        0.564,        0.584,           1.6939,          0.91962,           4.4527,        0.559,         1.08,        0.764,        0.861
         4,   40.129,     0.01,          0.98739,           0.7248,           3.1618,        0.463,        0.828,        0.595,        0.797,            1.693,           1.6198,           6.5524,         0.56,         1.08,         1.34,          1.4
         5,   48.825,     0.01,          0.99771,          0.54243,            2.625,        0.463,        0.828,        0.451,        0.561,           1.6922,            0.481,           3.1353,         0.56,         1.08,        0.399,        0.486
         6,   57.508,     0.01,          0.99871,          0.70032,           3.0997,        0.463,        0.827,        0.574,        0.589,           1.6909,          0.77078,           4.0032,         0.56,         1.08,         0.64,        0.754
         7,   66.241,     0.01,           1.0256,          0.32905,           2.0127,        0.463,        0.828,        0.303,        0.519,           1.6896,           1.0124,           4.7266,         0.56,         1.08,        0.841,        0.931
         8,   74.949,     0.01,           1.0333,          0.39655,            2.223,        0.463,        0.827,        0.285,        0.453,           1.6885,          0.78709,           4.0497,         0.56,         1.08,        0.654,        0.766
         9,   83.543,     0.01,           1.0381,          0.28791,           1.9018,        0.463,        0.827,        0.261,        0.486,           1.6867,           1.0949,           4.9713,         0.56,         1.08,        0.909,        0.993
        10,   92.448,     0.01,          0.91731,          0.26564,           1.7142,        0.463,        0.826,        0.244,        0.501,           1.6845,           0.9817,           4.6296,         0.56,         1.08,        0.815,        0.908
        11,  101.275,     0.01,          0.91959,           0.2434,           1.6498,        0.463,        0.826,        0.227,        0.482,           1.6814,           1.0099,            4.711,        0.559,         1.08,        0.839,        0.929
        12,  109.977,     0.01,          0.96011,          0.31645,           1.9095,        0.462,        0.825,        0.211,        0.466,           1.6784,          0.78482,           4.0328,        0.559,         1.08,        0.652,        0.765
        13,  118.672,     0.01,          0.98241,          0.28263,           1.8303,        0.462,        0.823,        0.261,        0.437,           1.6725,           1.0877,           4.9356,        0.558,         1.07,        0.903,        0.988
        14,  127.487,     0.01,           1.0215,          0.43112,           2.3149,        0.461,        0.821,        0.314,        0.519,           1.6657,          0.79977,            4.065,        0.558,         1.07,        0.664,        0.775
        15,  136.248,     0.01,          0.96808,          0.35368,           2.0291,         0.46,        0.818,        0.302,         0.43,            1.653,          0.74445,           3.8863,        0.556,         1.07,        0.618,        0.736
        16,  144.919,     0.01,          0.92611,          0.40839,           2.1513,        0.458,        0.814,        0.274,        0.508,           1.6348,          0.98011,           4.5751,        0.553,         1.06,        0.814,        0.906
        17,  153.657,     0.01,          0.91189,          0.25194,           1.6677,        0.456,        0.808,        0.231,        0.447,           1.6061,          0.73082,           3.7986,        0.549,         1.05,        0.607,        0.724
        18,  162.361,     0.01,          0.83752,          0.23499,           1.5425,        0.452,        0.799,        0.213,        0.402,           1.5552,          0.63194,            3.451,        0.542,         1.04,        0.525,        0.652
        19,  171.251,     0.01,          0.95748,          0.20932,           1.5854,        0.447,        0.784,        0.191,        0.349,           1.4771,          0.61351,           3.3177,        0.532,         1.01,        0.509,        0.632
        20,  180.096,     0.01,          0.85404,          0.18786,           1.4176,        0.437,        0.765,        0.165,        0.294,           1.3728,           0.4128,           2.6112,        0.525,        0.973,        0.343,        0.349
        21,  188.861,     0.01,          0.81133,          0.12724,           1.1931,        0.428,        0.738,         0.11,        0.162,           1.2552,           0.3511,           2.3085,        0.522,         0.93,        0.292,        0.342
        22,  197.531,     0.01,          0.65931,           0.1927,           1.2374,        0.409,        0.703,        0.131,        0.204,           1.3256,            1.193,           4.9047,        0.548,        0.956,        0.991,         1.01
        23,  206.215,     0.01,          0.61773,          0.12045,          0.97907,        0.402,        0.678,        0.103,        0.144,           1.5059,          0.44249,           2.8334,        0.561,         1.02,        0.367,        0.459
        24,  215.003,     0.01,          0.74577,          0.14075,            1.168,        0.408,        0.692,        0.102,        0.126,           1.6245,          0.58649,           3.3839,         0.57,         1.06,        0.487,        0.569
        25,  223.643,     0.01,          0.67121,          0.21662,           1.3211,        0.408,        0.687,        0.162,        0.207,           1.5416,          0.36244,            2.629,        0.561,         1.03,        0.301,        0.336
        26,  232.284,     0.01,          0.59864,          0.13952,           1.0172,        0.398,        0.659,        0.115,        0.141,           1.4296,          0.89428,           4.1124,        0.557,        0.993,        0.743,        0.782
        27,  241.085,     0.01,          0.55935,          0.14804,           1.0035,        0.381,        0.628,        0.113,         0.13,           1.3641,          0.73997,            3.584,        0.551,         0.97,        0.614,        0.659
        28,  250.053,     0.01,          0.56714,          0.12853,          0.95273,        0.375,        0.614,        0.108,        0.124,           1.4834,           0.6649,           3.4781,        0.559,         1.01,        0.552,        0.616
        29,  258.854,     0.01,          0.57315,         0.077646,          0.80609,        0.377,        0.608,       0.0626,       0.0783,           1.5611,          0.44288,           2.8898,        0.566,         1.04,        0.368,        0.467
        30,  267.497,     0.01,          0.50876,         0.089683,          0.77781,        0.365,         0.58,       0.0707,       0.0981,           1.5493,          0.66582,           3.5467,        0.568,         1.03,        0.553,        0.614
        31,  276.177,     0.01,          0.42345,         0.065816,           0.6209,        0.351,        0.551,       0.0533,        0.059,           1.6762,           1.2983,           5.5713,        0.585,         1.08,         1.08,          1.1
        32,  284.868,     0.01,          0.42781,          0.12287,          0.79642,        0.347,        0.535,        0.111,        0.141,           1.8987,           1.2617,           5.6838,        0.603,         1.14,         1.05,         1.07
        33,  293.636,     0.01,          0.41149,         0.052667,          0.56949,        0.345,        0.525,       0.0484,       0.0656,           2.1146,           1.0889,           5.3814,        0.616,         1.21,        0.904,        0.937
        34,  302.327,     0.01,          0.39153,          0.11919,           0.7491,        0.344,        0.528,        0.106,        0.122,           1.9633,          0.70652,           4.0828,        0.603,         1.16,        0.587,        0.647
        35,  311.105,     0.01,          0.36201,          0.21147,          0.99642,        0.329,        0.503,         0.16,        0.191,           1.5996,           1.0705,           4.8111,        0.574,         1.05,        0.889,        0.926
        36,  319.991,     0.01,          0.32855,          0.16481,          0.82299,        0.324,         0.49,        0.133,        0.142,           1.5326,           1.1463,           4.9716,         0.57,         1.03,        0.952,        0.982
        37,  328.786,     0.01,          0.34892,          0.10324,          0.65862,        0.328,        0.506,       0.0936,        0.114,           1.7021,          0.93239,           4.4993,        0.582,         1.08,        0.774,        0.815
        38,  337.530,     0.01,          0.36967,         0.091416,          0.64392,        0.329,        0.499,       0.0607,       0.0898,           1.8539,          0.60666,           3.6739,        0.592,         1.13,        0.504,        0.575
        39,  346.219,     0.01,          0.36573,          0.13569,           0.7728,        0.334,        0.507,        0.105,         0.12,           1.8367,            1.224,           5.5087,        0.593,         1.13,         1.02,         1.05
        40,  354.916,     0.01,          0.36484,          0.14076,          0.78713,        0.327,        0.492,        0.118,         0.13,           1.5712,          0.84713,           4.1126,        0.569,         1.04,        0.703,        0.749
        41,  363.696,     0.01,          0.32694,         0.093823,          0.60841,         0.32,        0.488,       0.0877,        0.118,           1.5118,           1.1243,           4.8846,        0.564,         1.02,        0.934,        0.967
        42,  372.417,     0.01,           0.3508,         0.067898,           0.5545,        0.316,        0.479,       0.0591,        0.075,           1.4648,          0.68665,           3.5247,        0.555,            1,         0.57,        0.634
        43,  381.117,     0.01,          0.30547,          0.11285,          0.64402,        0.307,        0.464,       0.0828,       0.0996,           1.5169,            1.101,           4.8199,        0.562,         1.02,        0.914,        0.951
        44,  389.889,     0.01,          0.29677,          0.17704,          0.82791,        0.305,        0.462,        0.128,        0.148,           1.5206,          0.43994,           2.8404,        0.558,         1.02,        0.365,        0.464
        45,  398.810,     0.01,          0.27922,          0.18441,          0.83245,        0.298,        0.445,        0.164,        0.194,           1.6308,          0.97032,           4.5417,        0.569,         1.06,        0.806,        0.852
        46,  407.649,     0.01,          0.27412,         0.082137,          0.52053,        0.294,        0.443,       0.0753,       0.0917,           1.5744,          0.97338,           4.4945,        0.564,         1.04,        0.808,        0.851
        47,  416.380,     0.01,          0.26048,          0.05843,          0.43577,        0.282,        0.433,       0.0477,       0.0597,           1.5218,          0.82906,           4.0089,        0.557,         1.02,        0.688,         0.74
        48,  425.013,     0.01,          0.24644,         0.067729,          0.44962,         0.27,        0.417,       0.0549,       0.0681,           1.4912,           1.0015,           4.4956,        0.553,         1.01,        0.832,        0.873
        49,  433.816,     0.01,          0.27461,         0.056467,          0.44401,        0.258,        0.412,       0.0454,       0.0506,           1.6656,          0.97612,           4.5939,        0.566,         1.07,        0.811,        0.855
        50,  442.563,     0.01,          0.22709,         0.034207,          0.32971,        0.256,         0.41,       0.0301,       0.0366,           1.7262,          0.88991,           4.3959,        0.567,         1.09,        0.739,         0.79
        51,  451.292,     0.01,          0.22093,         0.051159,          0.37441,        0.249,          0.4,       0.0446,       0.0564,           1.5095,          0.93225,           4.3063,        0.544,         1.02,        0.774,         0.82
        52,  460.023,     0.01,          0.21622,         0.068394,           0.4214,        0.221,        0.365,       0.0495,       0.0676,           1.2843,           1.0784,           4.5194,        0.517,        0.941,        0.895,        0.936
        53,  468.892,     0.01,          0.20277,          0.05153,          0.35736,        0.214,        0.357,       0.0383,       0.0468,           1.1614,          0.87836,           3.7965,        0.494,        0.895,        0.729,        0.783
        54,  477.788,     0.01,          0.17195,         0.055918,          0.33971,        0.206,        0.346,       0.0465,       0.0542,           1.2304,           0.8024,           3.6376,        0.497,        0.921,        0.666,        0.722
        55,  486.373,     0.01,          0.12897,         0.034739,          0.23319,        0.181,        0.305,       0.0317,       0.0412,           1.3613,           1.1484,           4.8065,        0.506,        0.969,        0.954,        0.987
        56,  495.119,     0.01,           0.1439,         0.080305,          0.38482,        0.192,        0.328,       0.0731,        0.136,             1.38,           1.2295,           5.0687,        0.501,        0.975,         1.02,         1.05
        57,  503.916,     0.01,          0.14031,         0.070258,          0.35108,        0.189,        0.323,       0.0618,        0.108,           1.3216,           0.8172,           3.7732,        0.492,        0.955,        0.679,        0.732
        58,  512.600,     0.01,          0.11614,         0.036563,          0.22582,        0.171,        0.286,       0.0319,       0.0545,           1.1477,          0.62717,           3.0292,        0.465,         0.89,        0.521,         0.59
        59,  521.269,     0.01,          0.14445,         0.089826,          0.41392,        0.177,        0.293,       0.0695,       0.0868,           1.1986,          0.95668,           4.0686,        0.472,        0.909,        0.794,        0.842
        60,  530.051,     0.01,          0.10871,         0.089042,          0.37584,        0.164,        0.277,       0.0749,       0.0935,           1.3906,          0.48032,           2.8316,         0.49,        0.979,        0.399,        0.491
        61,  538.920,     0.01,          0.10802,          0.10938,          0.43616,         0.17,        0.278,       0.0918,        0.134,           1.1848,          0.63202,           3.0809,        0.465,        0.904,        0.525,        0.598
        62,  547.790,     0.01,         0.086497,         0.073569,           0.3072,        0.152,        0.253,       0.0675,       0.0881,           1.1001,          0.89235,           3.7772,        0.451,        0.871,        0.741,        0.791
        63,  556.503,     0.01,         0.086964,          0.07319,          0.30653,        0.152,        0.252,       0.0565,       0.0636,           1.0976,          0.77006,           3.4078,        0.447,         0.87,        0.639,        0.693
        64,  565.204,     0.01,         0.083498,         0.059498,          0.26199,        0.153,        0.243,       0.0506,       0.0597,           1.0992,          0.96799,           4.0032,        0.448,        0.871,        0.804,        0.845
        65,  573.904,     0.01,         0.078381,         0.057667,          0.25138,         0.15,         0.24,       0.0509,        0.065,           1.1506,          0.90873,           3.8768,        0.458,        0.891,        0.755,        0.802
