epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,   15.519,     0.01,           1.0619,           1.1587,           4.5381,        0.479,        0.856,         1.08,         1.41,           1.2603,           0.5765,           2.9898,        0.514,        0.957,        0.491,        0.491
         2,   27.556,     0.01,           1.0176,          0.58145,           2.7619,        0.478,        0.855,        0.468,        0.595,           1.2582,          0.30339,           2.1684,        0.513,        0.956,        0.259,        0.259
         3,   38.580,     0.01,           1.0677,           0.6348,           2.9721,        0.478,        0.854,        0.473,        0.611,           1.2573,          0.34908,           2.3045,        0.514,        0.956,        0.298,        0.298
         4,   49.537,     0.01,          0.93347,          0.51482,           2.4779,        0.478,        0.854,        0.465,        0.694,           1.2551,          0.32619,           2.2337,        0.513,        0.955,        0.278,        0.278
         5,   60.639,     0.01,          0.99504,          0.37493,           2.1198,        0.478,        0.853,        0.353,        0.536,            1.254,          0.14996,           1.7039,        0.513,        0.954,        0.128,        0.128
         6,   71.698,     0.01,           1.0512,          0.40004,           2.2513,        0.478,        0.853,        0.351,         0.49,           1.2527,         0.053505,           1.4132,        0.513,        0.954,       0.0456,       0.0456
         7,   82.833,     0.01,           1.0394,          0.45922,           2.4171,        0.479,        0.852,        0.357,        0.564,            1.251,          0.24041,           1.9722,        0.513,        0.953,        0.205,        0.205
         8,   94.121,     0.01,          0.97027,          0.51057,            2.502,        0.478,        0.852,        0.442,        0.505,            1.249,          0.26611,           2.0474,        0.513,        0.953,        0.227,        0.227
         9,  105.375,     0.01,           1.0412,          0.54792,            2.685,        0.478,        0.851,        0.432,        0.623,           1.2472,         0.043934,            1.379,        0.513,        0.952,       0.0374,       0.0374
        10,  116.438,     0.01,          0.97293,           0.5178,           2.5263,        0.478,         0.85,        0.429,        0.543,           1.2437,          0.58195,           2.9896,        0.512,        0.951,        0.496,        0.496
        11,  127.539,     0.01,           1.0412,          0.40502,           2.2562,        0.477,        0.847,         0.38,         0.41,             1.24,          0.11494,           1.5849,         0.51,        0.949,        0.098,        0.098
        12,  138.624,     0.01,          0.95445,          0.35896,           2.0313,        0.475,        0.845,        0.333,          0.5,           1.2345,           0.2415,            1.959,        0.507,        0.947,        0.206,        0.206
