epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,     1,           2.3266,          0.82704,          0.49985,          0.42987,          0.75512,          0.41504,          0.58146
    1,     2,           8.0947,           1.1347,             2.32,           0.5031,          0.88447,           1.9264,           2.0235
    1,     3,           4.4837,           1.1292,           1.1182,           0.4765,          0.88233,          0.92844,          0.92872
    1,     4,           1.2526,          0.80806,          0.14818,          0.42829,           0.7464,          0.12304,          0.13885
    2,     1,           2.5579,           1.2901,           0.4226,          0.51137,          0.94312,           0.3509,          0.35243
    2,     2,           2.1111,          0.86692,          0.41474,          0.45126,          0.77311,          0.34437,          0.61179
    2,     3,           1.4422,          0.94287,          0.16644,          0.42738,          0.80627,           0.1382,          0.14245
    2,     4,           3.3415,          0.77067,          0.85694,           0.4595,          0.72893,          0.71155,          0.97137
    3,     1,            3.112,           1.1142,          0.66594,          0.49711,          0.87648,          0.55295,          0.60917
    3,     2,           2.9632,          0.84139,          0.70727,          0.44418,          0.76164,          0.58727,          0.59247
    3,     3,           3.0496,           0.8685,          0.72704,          0.42346,          0.77381,          0.60368,          0.60478
    3,     4,            2.964,           1.3097,          0.55145,          0.50593,          0.95024,          0.45789,          0.45789
    4,     1,           1.3462,          0.91795,          0.14277,          0.45563,          0.79554,          0.11854,          0.12259
    4,     2,           3.2493,          0.61045,          0.87962,          0.39011,          0.64875,          0.73038,          0.89992
    4,     3,           4.7624,           1.4846,           1.0926,          0.55345,           1.0117,          0.90724,           1.0902
    4,     4,           3.2891,          0.93657,          0.78419,          0.44333,          0.80356,          0.65113,          0.65114
    5,     1,           2.9591,           1.2091,          0.58333,          0.49185,          0.91301,          0.48436,          0.48689
    5,     2,           1.8331,          0.98246,          0.28355,          0.46442,          0.82302,          0.23544,          0.23872
    5,     3,           3.0813,          0.77846,           0.7676,          0.43676,           0.7326,          0.63736,          0.84041
    5,     4,           2.6265,           1.0209,          0.53522,          0.45562,          0.83895,          0.44442,          0.44692
    6,     1,           2.8144,          0.83618,          0.65942,          0.41487,          0.75928,          0.54753,           0.5493
    6,     2,           3.7135,           1.3765,          0.77902,          0.53912,          0.97417,          0.64684,          0.65127
    6,     3,           2.5382,          0.74466,          0.59786,          0.41555,          0.71652,          0.49643,          0.49836
    6,     4,           3.3324,           1.0375,          0.76497,          0.49944,          0.84576,          0.63518,          0.69049
    7,     1,           1.5462,          0.79171,          0.25148,          0.42648,          0.73881,          0.20882,           0.2123
    7,     2,           3.5172,           1.0419,           0.8251,          0.47928,          0.84756,          0.68511,          0.93423
    7,     3,           1.5125,           1.0172,           0.1651,          0.45817,          0.83744,          0.13709,          0.14585
    7,     4,            1.475,           1.2514,         0.074524,           0.5139,          0.92886,         0.061882,         0.062219
    8,     1,          0.72035,          0.54834,         0.057335,          0.36609,          0.61486,         0.047604,          0.05128
    8,     2,           2.3483,          0.92448,           0.4746,          0.46914,          0.79836,          0.39408,          0.60887
    8,     3,           2.1904,           1.3399,          0.28348,          0.51262,          0.96115,          0.23538,          0.23952
    8,     4,           3.6329,           1.3205,           0.7708,          0.54506,          0.95418,          0.64001,          0.75744
    9,     1,           1.3434,          0.74323,          0.20007,          0.41588,          0.71583,          0.16613,          0.17175
    9,     2,           2.3515,          0.99177,          0.45325,          0.47891,          0.82691,          0.37635,           0.6324
    9,     3,           2.2259,           1.0517,          0.39138,          0.46225,          0.85154,          0.32497,          0.62562
    9,     4,           1.6864,           1.3655,          0.10696,          0.52638,          0.97028,         0.088814,         0.094371
   10,     1,           2.5959,           1.2179,          0.45932,          0.51479,          0.91635,          0.38138,          0.66117
   10,     2,           2.2406,          0.93779,          0.43427,          0.45654,          0.80409,          0.36058,          0.65658
   10,     3,           1.4014,           1.1064,         0.098358,          0.46945,          0.87337,         0.081673,         0.098195
   10,     4,          0.61904,          0.40716,         0.070625,          0.35825,          0.52983,         0.058647,         0.058717
   11,     1,           2.1263,          0.84799,          0.42611,          0.45115,          0.76462,          0.35381,          0.65703
   11,     2,           2.2111,          0.96761,          0.41449,          0.46427,          0.81677,          0.34416,          0.61028
   11,     3,           1.7359,           1.4261,          0.10327,          0.53327,          0.99158,         0.085741,         0.087035
   11,     4,          0.52589,          0.43665,         0.029747,          0.34095,          0.54868,         0.024704,         0.024729
   12,     1,           1.1076,          0.90981,         0.065933,          0.44133,            0.792,         0.054743,         0.064927
   12,     2,           1.3732,           1.2153,         0.052628,          0.49694,          0.91537,         0.043701,         0.053073
   12,     3,           2.1252,          0.93837,          0.39562,          0.44893,          0.80434,           0.3285,          0.61273
   12,     4,           3.0319,          0.77694,          0.75164,            0.462,          0.73189,          0.62411,          0.86858
   13,     1,           1.7329,           1.1802,          0.18422,          0.48767,          0.90206,          0.15297,          0.16123
   13,     2,           2.9647,          0.78597,          0.72625,          0.43898,          0.73613,          0.60303,          0.78876
   13,     3,           1.4523,          0.98081,          0.15718,          0.46411,          0.82232,          0.13051,           0.1344
   13,     4,           1.1712,          0.98263,         0.062859,          0.45009,          0.82309,           0.0522,           0.0696
   14,     1,           2.3141,          0.67681,          0.54578,          0.41903,           0.6831,          0.45317,          0.66991
   14,     2,           1.6386,            1.022,          0.20551,          0.46404,          0.83943,          0.17064,          0.17258
   14,     3,           1.5801,           1.0587,          0.17382,          0.45617,          0.85434,          0.14433,           0.1501
   14,     4,           3.7266,           1.3284,          0.79938,          0.54902,          0.95702,          0.66375,          0.93821
   15,     1,           1.8837,           1.4364,          0.14909,          0.53371,          0.99514,          0.12379,          0.12774
   15,     2,           3.0784,          0.91202,          0.72211,          0.48231,          0.79296,           0.5996,          0.74326
   15,     3,           1.3702,          0.57863,          0.26386,          0.37116,          0.63162,          0.21909,          0.22403
   15,     4,           1.7843,          0.94529,          0.27967,           0.4438,           0.8073,          0.23222,          0.23651
   16,     1,           1.1368,          0.66504,          0.15724,          0.41097,          0.67713,          0.13056,           0.1337
   16,     2,           1.1111,          0.95304,         0.052685,          0.43304,           0.8106,         0.043747,         0.048061
   16,     3,           2.8151,           1.4071,          0.46932,          0.54333,          0.98495,          0.38969,            0.638
   16,     4,           3.5422,          0.67924,          0.95431,          0.43308,          0.68432,          0.79239,          0.97663
   17,     1,           2.3793,          0.99037,          0.46297,          0.46567,          0.82632,          0.38442,          0.61107
   17,     2,           1.0507,          0.90239,         0.049427,          0.43063,          0.78877,         0.041039,         0.056587
   17,     3,           2.3817,           1.0901,          0.43054,          0.49707,          0.86693,           0.3575,          0.56475
   17,     4,          0.85915,          0.66471,         0.064812,           0.4032,          0.67697,          0.05381,         0.071887
   18,     1,           2.6398,           1.3609,          0.42628,          0.53825,          0.96866,          0.35396,          0.54987
   18,     2,           2.1091,           1.0255,           0.3612,          0.48525,          0.84086,          0.29992,          0.50685
   18,     3,          0.93972,          0.74736,         0.064121,          0.42155,          0.71782,         0.053242,          0.05936
   18,     4,          0.48136,          0.21626,         0.088364,          0.27299,          0.38614,         0.073372,         0.077802
   19,     1,           2.1412,           1.0698,          0.35711,          0.49753,          0.85883,          0.29652,          0.45589
   19,     2,          0.96123,          0.63822,          0.10767,          0.38536,          0.66334,         0.089403,            0.108
   19,     3,           1.6321,          0.70279,          0.30978,          0.41546,          0.69609,          0.25722,          0.45387
   19,     4,           1.6072,           1.4191,         0.062698,          0.53243,          0.98913,         0.052063,         0.062134
   20,     1,           1.0106,          0.76415,         0.082161,          0.41722,          0.72584,          0.06822,         0.074925
   20,     2,           1.8785,          0.96606,          0.30414,          0.45616,          0.81612,          0.25253,          0.39669
   20,     3,           1.5544,          0.79988,          0.25152,          0.45515,          0.74261,          0.20884,          0.36547
   20,     4,           1.2269,          0.88609,          0.11362,          0.40536,          0.78161,         0.094337,          0.11361
   21,     1,          0.94417,          0.67689,         0.089096,          0.37394,          0.68314,         0.073982,          0.10185
   21,     2,           1.5664,          0.84736,          0.23967,          0.47062,          0.76434,          0.19901,          0.26935
   21,     3,           1.0401,          0.76415,         0.091988,          0.43671,          0.72584,          0.07638,         0.079972
   21,     4,           1.2216,          0.95694,         0.088211,          0.43219,          0.81226,         0.073246,         0.073504
   22,     1,           1.0664,          0.50781,          0.18619,          0.38805,           0.5917,           0.1546,            0.156
   22,     2,           1.4192,           1.2453,         0.057968,          0.50449,          0.92659,         0.048128,         0.055698
   22,     3,           0.8879,          0.62518,         0.087574,          0.38635,          0.65653,         0.072716,         0.081385
   22,     4,           1.5761,          0.25895,          0.43906,          0.30264,          0.42253,          0.36457,          0.47323
   23,     1,           1.2054,          0.77852,          0.14229,           0.4132,          0.73263,          0.11815,          0.13453
   23,     2,           1.0773,          0.69055,          0.12892,          0.42689,             0.69,          0.10705,          0.19548
   23,     3,           1.0719,          0.72152,          0.11681,          0.40581,           0.7053,         0.096991,          0.10998
   23,     4,          0.56166,          0.28034,         0.093773,          0.32451,          0.43964,         0.077858,         0.090275
   24,     1,          0.97668,          0.66503,          0.10389,          0.38886,          0.67713,         0.086256,          0.10328
   24,     2,          0.71593,          0.51629,         0.066547,          0.39255,          0.59662,         0.055256,         0.082365
   24,     3,             1.08,          0.69459,          0.12846,          0.40078,          0.69201,          0.10666,          0.11874
