epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,     1,          0.28093,         0.063001,          0.21792,         0.047806,         0.084046,          0.83685,          0.92859
    1,     2,            2.224,           1.9538,          0.27013,          0.25568,          0.46805,           1.0194,           1.3834
    1,     3,          0.31985,          0.21766,          0.10219,         0.089597,          0.15622,          0.39631,          0.46168
    1,     4,           2.1296,           1.9199,          0.20973,          0.37584,          0.46396,          0.76526,           1.1536
    1,     5,          0.92024,           0.5035,          0.41674,          0.15337,           0.2376,           1.4392,           1.5322
    1,     6,          0.78972,          0.17079,          0.61892,         0.079082,          0.13838,           1.3944,           1.4616
    1,     7,           1.4964,           1.1075,          0.38893,          0.22132,          0.35238,          0.78912,          0.84399
    1,     8,          0.40535,        0.0018163,          0.40353,         0.011672,         0.014271,          0.85077,          0.85083
    1,     9,          0.33382,          0.26053,         0.073285,          0.12158,          0.17091,          0.25854,          0.36259
    1,    10,          0.33735,          0.25826,         0.079087,          0.07069,          0.17017,          0.46877,          0.60092
    1,    11,           0.4778,           0.2564,           0.2214,           0.1231,          0.16955,          0.35709,          0.63226
    1,    12,          0.84518,          0.79259,         0.052596,          0.20479,          0.29811,          0.39487,          0.46427
    1,    13,          0.59405,          0.50779,         0.086266,          0.16069,          0.23861,          0.46313,          0.57801
    1,    14,          0.38957,         0.090347,          0.29923,         0.066383,          0.10065,          0.92624,           1.4649
    1,    15,            2.546,           1.7967,          0.74929,          0.28802,          0.44884,           1.5593,           2.3182
    1,    16,          0.22367,          0.11203,          0.11164,         0.063352,          0.11208,          0.42963,          0.54071
    1,    17,          0.67897,          0.53107,           0.1479,          0.17186,          0.24402,          0.50588,          0.70063
    1,    18,          0.86805,          0.81199,         0.056054,          0.20957,          0.30173,          0.42772,          0.52947
    1,    19,          0.59547,           0.4257,          0.16977,          0.12981,          0.21847,          0.78716,           1.0615
    1,    20,          0.41627,          0.27162,          0.14465,         0.089377,          0.17451,          0.71514,           0.7281
    1,    21,          0.39042,          0.37389,         0.016535,          0.15773,          0.20475,          0.23501,          0.29366
    1,    22,          0.83763,          0.79374,          0.04389,          0.19194,          0.29832,          0.24007,           0.3011
    1,    23,          0.45715,           0.4032,         0.053956,          0.14498,          0.21262,          0.38721,          0.40537
    1,    24,           4.9936,           4.9564,         0.037192,          0.50556,          0.74547,          0.38918,          0.42911
    1,    25,          0.38864,          0.29024,           0.0984,          0.11851,           0.1804,          0.47763,          0.47881
    1,    26,          0.50954,          0.49326,         0.016274,          0.16332,          0.23517,          0.13454,          0.18514
    1,    27,          0.47529,          0.47404,        0.0012551,          0.15005,          0.23054,         0.058299,         0.071037
    1,    28,          0.83092,          0.28899,          0.54194,          0.11228,          0.18001,           0.9389,            1.084
    1,    29,           1.5852,           1.5134,         0.071874,          0.24554,          0.41192,          0.40368,          0.53694
