epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,   65.545,    0.005,          0.22061,           1.2744,            1.495,       0.0755,        0.155,        0.562,         1.61,         0.083115,           3.1134,           3.1965,       0.0517,       0.0925,        0.785,         2.49
         2,  116.470,    0.005,          0.13691,           1.2058,           1.3427,       0.0628,        0.123,        0.518,         1.55,         0.082295,           3.1217,            3.204,       0.0539,       0.0915,        0.489,         2.46
         3,  167.277,    0.005,          0.06251,           1.2159,           1.2784,        0.046,       0.0832,        0.469,         1.54,         0.048939,           3.1112,           3.1601,       0.0407,       0.0708,        0.531,         2.46
         4,  218.183,    0.005,         0.047416,           1.1954,           1.2429,       0.0407,       0.0721,        0.406,         1.51,          0.04055,           3.1078,           3.1484,       0.0377,        0.065,        0.647,         2.47
         5,  269.030,    0.005,          0.05397,           1.2077,           1.2617,       0.0427,       0.0764,        0.443,         1.53,         0.039678,           3.1121,           3.1518,       0.0373,       0.0642,        0.534,         2.46
         6,  319.847,    0.005,         0.045838,           1.1922,           1.2381,       0.0402,       0.0714,        0.411,          1.5,         0.034126,           3.1117,           3.1458,       0.0352,       0.0598,        0.534,         2.46
         7,  370.685,    0.005,         0.044282,             1.17,           1.2142,        0.039,         0.07,        0.357,         1.48,         0.033438,           3.1136,            3.147,       0.0346,       0.0591,        0.527,         2.46
         8,  421.460,    0.005,         0.085144,           1.1802,           1.2653,       0.0453,       0.0956,        0.409,         1.51,          0.04299,           3.1068,           3.1498,       0.0376,       0.0663,        0.599,         2.46
         9,  472.218,    0.005,         0.047831,           1.1873,           1.2352,       0.0399,       0.0728,        0.374,         1.49,         0.033447,           3.1083,           3.1418,       0.0344,       0.0589,        0.554,         2.46
        10,  522.959,    0.005,          0.04303,           1.1581,           1.2011,       0.0374,       0.0674,         0.36,         1.47,         0.027399,           3.1226,             3.15,       0.0319,       0.0536,        0.436,         2.45
