#  index    confid      step    natoms          aene        maxfrc         score
       0         8         0        19       -6.0894        0.1016       -6.0894
       1         8         1        19       -6.0895        0.0915       -6.0895
       2         8         2        19       -6.0895        0.1422       -6.0895
       3         8         3        19       -6.0895        0.1144       -6.0895
       4         8         4        19       -6.0895        0.1880       -6.0895
       5         8         5        19       -6.0895        0.1595       -6.0895
       6         8         6        19       -6.0895        0.0717       -6.0895
       7         8         7        19       -6.0895        0.1122       -6.0895
       8         8         8        19       -6.0895        0.0511       -6.0895
       9         8         9        19       -6.0895        0.0483       -6.0895
      10         3         0        19       -6.0520        0.3248       -6.0520
      11         3         1        19       -6.0523        0.2933       -6.0523
      12         3         2        19       -6.0525        0.9170       -6.0525
      13         3         3        19       -6.0527        0.7092       -6.0527
      14         3         4        19       -6.0528        0.3491       -6.0528
      15         3         5        19       -6.0528        0.6118       -6.0528
      16         3         6        19       -6.0529        0.3361       -6.0529
      17         3         7        19       -6.0529        0.3344       -6.0529
      18         3         8        19       -6.0531        0.3194       -6.0531
      19         3         9        19       -6.0533        0.2852       -6.0533
      20         3        10        19       -6.0536        0.2288       -6.0536
      21         3        11        19       -6.0536        0.2008       -6.0536
      22         3        12        19       -6.0538        0.1609       -6.0538
      23         3        13        19       -6.0540        0.0989       -6.0540
      24         3        14        19       -6.0540        0.1244       -6.0540
      25         3        15        19       -6.0540        0.4637       -6.0540
      26         3        16        19       -6.0540        0.2995       -6.0540
      27         3        17        19       -6.0541        0.2373       -6.0541
      28         3        18        19       -6.0541        0.0786       -6.0541
      29         3        19        19       -6.0541        0.0726       -6.0541
      30         3        20        19       -6.0541        0.0514       -6.0541
      31         3        21        19       -6.0541        0.0405       -6.0541
      32         1         0        19       -6.0338        0.4457       -6.0338
      33         1         1        19       -6.0344        0.3912       -6.0344
      34         1         2        19       -6.0351        0.8059       -6.0351
      35         1         3        19       -6.0354        0.3332       -6.0354
      36         1         4        19       -6.0355        0.3069       -6.0355
      37         1         5        19       -6.0357        0.2595       -6.0357
      38         1         6        19       -6.0361        0.2051       -6.0361
      39         1         7        19       -6.0365        0.1726       -6.0365
      40         1         8        19       -6.0366        0.1944       -6.0366
      41         1         9        19       -6.0366        0.5327       -6.0366
      42         1        10        19       -6.0367        0.4849       -6.0367
      43         1        11        19       -6.0368        0.3532       -6.0368
      44         1        12        19       -6.0369        0.1492       -6.0369
      45         1        13        19       -6.0369        0.1848       -6.0369
      46         1        14        19       -6.0370        0.1762       -6.0370
      47         1        15        19       -6.0370        0.1452       -6.0370
      48         1        16        19       -6.0371        0.0866       -6.0371
      49         1        17        19       -6.0371        0.1904       -6.0371
      50         1        18        19       -6.0372        0.1107       -6.0372
      51         1        19        19       -6.0372        0.1762       -6.0372
      52         1        20        19       -6.0372        0.2119       -6.0372
      53         1        21        19       -6.0372        0.2025       -6.0372
      54         1        22        19       -6.0373        0.1691       -6.0373
      55         1        23        19       -6.0374        0.1001       -6.0374
      56         1        24        19       -6.0374        0.0783       -6.0374
      57         1        25        19       -6.0374        0.0816       -6.0374
      58         1        26        19       -6.0375        0.2551       -6.0375
      59         1        27        19       -6.0375        0.1786       -6.0375
      60         1        28        19       -6.0375        0.0858       -6.0375
      61         1        29        19       -6.0375        0.0835       -6.0375
      62         1        30        19       -6.0375        0.0777       -6.0375
      63         1        31        19       -6.0376        0.0671       -6.0376
      64         1        32        19       -6.0376        0.0782       -6.0376
      65         1        33        19       -6.0376        0.0636       -6.0376
      66         1        34        19       -6.0376        0.1543       -6.0376
