#  index    confid      step    natoms           ene          aene        maxfrc         score
       0        -1         0        43     -196.7322       -4.5752       16.1094        4.7573
       1        -1       100        43     -242.8428       -5.6475       48.5978       46.6119
       3        -1       300        43     -255.8170       -5.9492       55.7215       59.9341
       5        -1       500        43     -266.6728       -6.2017       33.3880       46.5639
       6        -1       600        43     -261.4985       -6.0814       60.9456       58.9015
       7        -1       700        43     -267.1509       -6.2128       41.7711       21.2454
       8        -1       800        43     -265.0338       -6.1636       39.0313       50.2482
       9        -1       900        43     -259.6278       -6.0379       54.2517       24.9480
      10        -1      1000        43     -264.9866       -6.1625       37.5664       38.8840
      13        -1      1300        43     -269.1459       -6.2592        8.5466       42.7792
      14        -1      1400        43     -264.3454       -6.1476       42.5832       39.1011
      15        -1      1500        43     -268.3477       -6.2406       34.7250       52.8650
      16        -1      1600        43     -260.8372       -6.0660       56.5862      213.4464
      17        -1      1700        43     -267.5271       -6.2216       38.9954       46.2681
      21        -1      2100        43     -262.8928       -6.1138       46.7443       49.6607
      22        -1      2200        43     -266.6462       -6.2011       37.0549       42.1493
      25        -1      2500        43     -267.8351       -6.2287       40.7740       47.0598
      26        -1      2600        43     -266.1610       -6.1898       32.0175       28.9586
      27        -1      2700        43     -267.2495       -6.2151       32.4524       52.7818
      28        -1      2800        43     -265.1939       -6.1673       31.3782       60.4461
      29        -1      2900        43     -259.1969       -6.0278       54.4008       67.1952
      32        -1      3200        43     -268.7013       -6.2489       26.4283       50.4309
      33        -1      3300        43     -266.7727       -6.2040       34.5973       49.1448
      34        -1      3400        43     -269.1490       -6.2593       19.4021       59.3387
      37        -1      3700        43     -268.4500       -6.2430       42.3741       50.8592
      38        -1      3800        43     -267.9998       -6.2326       24.1540       24.9672
      39        -1      3900        43     -255.4951       -5.9417       36.4781       42.8599
      45        -1      4500        43     -271.7965       -6.3208       40.9493       49.6937
      46        -1      4600        43     -261.7285       -6.0867       84.5550       44.3653
      49        -1      4900        43     -272.2434       -6.3312       42.9306       41.2523
      50        -1      5000        43     -272.5437       -6.3382       48.8592       59.4697
      51        -1      5100        43     -249.6079       -5.8048        4.9322      133.9956
      53        -1      5300        43     -273.4571       -6.3595       30.5001       45.2575
      54        -1      5400        43     -253.9575       -5.9060       22.9503       50.2268
      55        -1      5500        43     -271.0523       -6.3035       39.1985       49.2738
      56        -1      5600        43     -273.2729       -6.3552       44.7395       53.5207
      57        -1      5700        43     -249.4724       -5.8017        5.7950       59.4203
      58        -1      5800        43     -256.0154       -5.9538       36.5662       24.1206
      60        -1      6000        43     -256.6220       -5.9680       56.9754       49.8316
      62        -1      6200        43     -267.5740       -6.2227       45.5837       27.8885
      64        -1      6400        43     -255.9234       -5.9517       33.4846       78.1011
      67        -1      6700        43     -268.1430       -6.2359       43.5033       54.8135
      68        -1      6800        43     -265.9137       -6.1840       35.2462       54.1281
      69        -1      6900        43     -268.9658       -6.2550       30.8438       52.9711
      70        -1      7000        43     -253.9742       -5.9064       36.6877       52.5138
      72        -1      7200        43     -263.5707       -6.1296       62.0481       35.1838
      74        -1      7400        43     -261.8538       -6.0896       63.7064       48.7501
      77        -1      7700        43     -253.3827       -5.8926       48.4558       57.3137
      79        -1      7900        43     -258.0562       -6.0013       68.6640       59.5622
      80        -1      8000        43     -265.0775       -6.1646       49.2192       26.5399
      83        -1      8300        43     -266.2859       -6.1927       38.1728       21.8186
      84        -1      8400        43     -269.8746       -6.2762       54.6589        8.6684
      85        -1      8500        43     -261.5942       -6.0836       63.0474       50.5054
      86        -1      8600        43     -246.8215       -5.7400        8.8980       48.1463
      87        -1      8700        43     -271.3238       -6.3099       30.7878       22.4990
      88        -1      8800        43     -271.2264       -6.3076       47.6111       48.6271
      89        -1      8900        43     -284.6631       -6.6201       64.4184       41.7896
      96        -1      9600        43     -310.2994       -7.2163       24.1396        8.8181
      98        -1      9800        43     -327.4579       -7.6153       14.7447       33.5059
# random_seed 1112
