#  index    confid      step    natoms           ene          aene        maxfrc         score
       0        -1         0        43     -196.7322       -4.5752       16.1094        0.1181
       1        -1       100        43     -242.8428       -5.6475       48.5978        0.0631
       3        -1       300        43     -255.8170       -5.9492       55.7215        0.0320
       5        -1       500        43     -266.6728       -6.2017       33.3880        0.0221
       6        -1       600        43     -261.4985       -6.0814       60.9456        0.0177
       8        -1       800        43     -265.0338       -6.1636       39.0313        0.0131
      10        -1      1000        43     -264.9866       -6.1625       37.5664        0.0139
      79        -1      7900        43     -258.0562       -6.0013       68.6640        0.0135
      80        -1      8000        43     -265.0775       -6.1646       49.2192        0.0173
      83        -1      8300        43     -266.2859       -6.1927       38.1728        0.0112
      86        -1      8600        43     -246.8215       -5.7400        8.8980        0.0117
      87        -1      8700        43     -271.3238       -6.3099       30.7878        0.0084
      88        -1      8800        43     -271.2264       -6.3076       47.6111        0.0070
      89        -1      8900        43     -284.6631       -6.6201       64.4184        0.0050
      96        -1      9600        43     -310.2994       -7.2163       24.1396        0.0064
      98        -1      9800        43     -327.4579       -7.6153       14.7447        0.0059
# random_seed None
