#  index    confid    natoms  AtomicEnergy      MaxForce
      99        -1        43       -7.6858       20.1336
     100        -1        43       -7.6650       34.6097
      98        -1        43       -7.6153       14.7447
      95        -1        43       -7.3457       34.8396
      94        -1        43       -7.3088       29.8337
      97        -1        43       -7.3008       29.1520
      96        -1        43       -7.2163       24.1396
      53        -1        43       -6.3595       30.5001
      87        -1        43       -6.3099       30.7878
      55        -1        43       -6.3035       39.1985
# random_seed 1112
