#  index    confid    natoms  AtomicEnergy      MaxForce         Score
      99        -1        43       -7.6858       20.1336        0.7296
      98        -1        43       -7.6153       14.7447        0.9825
      97        -1        43       -7.3008       29.1520        0.4133
      94        -1        43       -7.3088       29.8337        0.7902
      96        -1        43       -7.2163       24.1396        1.0000
      34        -1        43       -6.2593       19.4021        0.2175
      71        -1        43       -6.2011       22.5875        0.1207
      32        -1        43       -6.2489       26.4283        0.2723
      19        -1        43       -6.2434       26.0604        0.3459
      20        -1        43       -6.2425       12.3890        0.5221
# random_seed 1112
