#  index    confid      step    natoms          aene        maxfrc         score
       0        -1         0        43       -4.5752       16.1094        0.0994
       1        -1       100        43       -5.6475       48.5978        0.0203
      87        -1      8700        43       -6.3099       30.7878        0.0164
      88        -1      8800        43       -6.3076       47.6111        0.0175
      89        -1      8900        43       -6.6201       64.4184        0.0143
      90        -1      9000        43       -7.0469       60.4111        0.0147
      91        -1      9100        43       -7.2354       66.2150        0.0120
      92        -1      9200        43       -7.1975       60.4200        0.0091
      93        -1      9300        43       -7.2781      149.9330        0.0097
      94        -1      9400        43       -7.3088       29.8337        0.0089
      95        -1      9500        43       -7.3457       34.8396        0.0114
      96        -1      9600        43       -7.2163       24.1396        0.0073
      97        -1      9700        43       -7.3008       29.1520        0.0062
      98        -1      9800        43       -7.6153       14.7447        0.0074
      99        -1      9900        43       -7.6858       20.1336        0.0083
     100        -1     10000        43       -7.6650       34.6097        0.0055
# random_seed None
