#       step         tot_devi_e         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.434889e-01       1.690122e-01       6.656404e-04       1.801561e-02       3.327172e-01       7.966619e-06       1.664019e-02
           1       2.434889e-01       1.690122e-01       6.656404e-04       1.801561e-02       3.327172e-01       7.966619e-06       1.664019e-02
           1       2.431457e-01       1.686691e-01       6.548218e-04       1.800459e-02       3.331500e-01       7.870114e-06       1.665020e-02
           2       2.421426e-01       1.676764e-01       6.310026e-04       1.797304e-02       3.343160e-01       7.456886e-06       1.667582e-02
           3       2.404443e-01       1.660040e-01       5.970088e-04       1.792018e-02       3.360882e-01       6.638142e-06       1.671261e-02
           4       2.380224e-01       1.636262e-01       5.436439e-04       1.784526e-02       3.382486e-01       4.382014e-06       1.675364e-02
           5       2.348529e-01       1.605197e-01       1.142608e-04       1.774760e-02       3.404950e-01       1.525155e-06       1.678950e-02
           6       2.309164e-01       1.566641e-01       4.194032e-04       1.764920e-02       3.424503e-01       1.172474e-06       1.680856e-02
           7       2.262008e-01       1.520447e-01       3.591908e-04       1.753877e-02       3.436775e-01       1.775484e-06       1.679695e-02
           8       2.207041e-01       1.466555e-01       2.622380e-04       1.740987e-02       3.437015e-01       4.181952e-06       1.673930e-02
           9       2.144397e-01       1.405045e-01       1.411258e-04       1.726250e-02       3.420407e-01       4.039573e-06       1.662216e-02
          10       2.074409e-01       1.336178e-01       1.077998e-05       1.709760e-02       3.382501e-01       1.334369e-05       1.643668e-02
          11       1.997654e-01       1.260446e-01       2.012437e-04       1.692512e-02       3.319725e-01       7.844033e-06       1.616132e-02
          12       1.914988e-01       1.178605e-01       4.391282e-04       1.673927e-02       3.229954e-01       2.558340e-05       1.578994e-02
          13       1.827548e-01       1.091673e-01       7.343472e-04       1.654243e-02       3.113016e-01       3.211201e-05       1.532940e-02
          14       1.736724e-01       1.000907e-01       1.097794e-03       1.633751e-02       2.971040e-01       3.304579e-05       1.477550e-02
          15       1.644077e-01       9.077140e-02       1.541245e-03       1.612775e-02       2.808472e-01       1.470455e-05       1.413695e-02
          16       1.551206e-01       8.135258e-02       2.077225e-03       1.591651e-02       2.631678e-01       5.465839e-05       1.343963e-02
          17       1.459582e-01       7.196287e-02       2.718842e-03       1.570702e-02       2.448091e-01       6.294468e-05       1.270438e-02
          18       1.370372e-01       6.269896e-02       3.479584e-03       1.550211e-02       2.265027e-01       6.772214e-05       1.196924e-02
          19       1.284308e-01       5.361308e-02       4.373074e-03       1.530408e-02       2.088464e-01       6.245087e-05       1.129812e-02
          20       1.201680e-01       4.471226e-02       5.412760e-03       1.511461e-02       1.922255e-01       5.694039e-05       1.066150e-02
